00501	NY	-5.0	Y
00544	NY	-5.0	Y
00601	PR	-4.0	N
00602	PR	-4.0	N
00603	PR	-4.0	N
00604	PR	-4.0	N
00605	PR	-4.0	N
00606	PR	-4.0	N
00610	PR	-4.0	N
00611	PR	-4.0	N
00612	PR	-4.0	N
00613	PR	-4.0	N
00614	PR	-4.0	N
00616	PR	-4.0	N
00617	PR	-4.0	N
00622	PR	-4.0	N
00623	PR	-4.0	N
00624	PR	-4.0	N
00627	PR	-4.0	N
00631	PR	-4.0	N
00636	PR	-4.0	N
00637	PR	-4.0	N
00638	PR	-4.0	N
00641	PR	-4.0	N
00646	PR	-4.0	N
00647	PR	-4.0	N
00650	PR	-4.0	N
00652	PR	-4.0	N
00653	PR	-4.0	N
00656	PR	-4.0	N
00659	PR	-4.0	N
00660	PR	-4.0	N
00662	PR	-4.0	N
00664	PR	-4.0	N
00667	PR	-4.0	N
00669	PR	-4.0	N
00670	PR	-4.0	N
00674	PR	-4.0	N
00676	PR	-4.0	N
00677	PR	-4.0	N
00678	PR	-4.0	N
00680	PR	-4.0	N
00681	PR	-4.0	N
00682	PR	-4.0	N
00683	PR	-4.0	N
00685	PR	-4.0	N
00687	PR	-4.0	N
00688	PR	-4.0	N
00690	PR	-4.0	N
00692	PR	-4.0	N
00693	PR	-4.0	N
00694	PR	-4.0	N
00698	PR	-4.0	N
00703	PR	-4.0	N
00704	PR	-4.0	N
00705	PR	-4.0	N
00707	PR	-4.0	N
00714	PR	-4.0	N
00715	PR	-4.0	N
00716	PR	-4.0	N
00717	PR	-4.0	N
00718	PR	-4.0	N
00719	PR	-4.0	N
00720	PR	-4.0	N
00721	PR	-4.0	N
00723	PR	-4.0	N
00725	PR	-4.0	N
00726	PR	-4.0	N
00727	PR	-4.0	N
00728	PR	-4.0	N
00729	PR	-4.0	N
00730	PR	-4.0	N
00731	PR	-4.0	N
00732	PR	-4.0	N
00733	PR	-4.0	N
00734	PR	-4.0	N
00735	PR	-4.0	N
00736	PR	-4.0	N
00737	PR	-4.0	N
00738	PR	-4.0	N
00739	PR	-4.0	N
00740	PR	-4.0	N
00741	PR	-4.0	N
00742	PR	-4.0	N
00744	PR	-4.0	N
00745	PR	-4.0	N
00751	PR	-4.0	N
00754	PR	-4.0	N
00757	PR	-4.0	N
00765	PR	-4.0	N
00766	PR	-4.0	N
00767	PR	-4.0	N
00769	PR	-4.0	N
